  0.100000, -0.100000,  0.100000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.099042, -0.100006,  0.099218, -0.022815,  0.014585, -0.008388, -0.028397,  0.022663,  0.022373, -0.025893,  0.006837, -0.010357,  0.000000
  0.098222, -0.100040,  0.098564, -0.047239,  0.029135, -0.016689, -0.056600,  0.046812,  0.040600, -0.048245,  0.011776, -0.019420,  0.000000
  0.097852, -0.100108,  0.098286, -0.064960,  0.043618, -0.024898, -0.084570,  0.063813,  0.047265, -0.058926,  0.012447, -0.024108,  0.000000
  0.096280, -0.100144,  0.096853, -0.058772,  0.058108, -0.033017, -0.112373,  0.058132,  0.086286, -0.105312,  0.025982, -0.045009,  0.000000
  0.094810, -0.100177,  0.095521, -0.055262,  0.072660, -0.041050, -0.140064,  0.055040,  0.122675, -0.148439,  0.038547, -0.064310,  0.000000
  0.093400, -0.100210,  0.094246, -0.052837,  0.087254, -0.048997, -0.167624,  0.052989,  0.157558, -0.189720,  0.050569, -0.082730,  0.000000
  0.092035, -0.100242,  0.093014, -0.050967,  0.101873, -0.056859, -0.195039,  0.051461,  0.191312, -0.229635,  0.062191, -0.100513,  0.000000
  0.090708, -0.100275,  0.091817, -0.049424,  0.116506, -0.064635, -0.222299,  0.050235,  0.224103, -0.268397,  0.073473, -0.117767,  0.000000
  0.089416, -0.100308,  0.090653, -0.048094,  0.131142, -0.072327, -0.249393,  0.049200,  0.256015, -0.306119,  0.084446, -0.134550,  0.000000
  0.088158, -0.100342,  0.089519, -0.046914,  0.145768, -0.079935, -0.276313,  0.048294,  0.287100, -0.342868,  0.095128, -0.150896,  0.000000
  0.086931, -0.100377,  0.088414, -0.045846,  0.160375, -0.087459, -0.303048,  0.047480,  0.317391, -0.378687,  0.105532, -0.166827,  0.000000
  0.085735, -0.100413,  0.087337, -0.044865,  0.174953, -0.094900, -0.329592,  0.046735,  0.346912, -0.413608,  0.115664, -0.182360,  0.000000
  0.084569, -0.100449,  0.086287, -0.043955,  0.189492, -0.102258, -0.355935,  0.046043,  0.375681, -0.447655,  0.125531, -0.197506,  0.000000
  0.083432, -0.100486,  0.085264, -0.043105,  0.203982, -0.109533, -0.382070,  0.045392,  0.403712, -0.480848,  0.135139, -0.212275,  0.000000
  0.082325, -0.100523,  0.084267, -0.042306,  0.218415, -0.116727, -0.407989,  0.044774,  0.431018, -0.513202,  0.144490, -0.226674,  0.000000
  0.081245, -0.100561,  0.083295, -0.041553,  0.232782, -0.123840, -0.433687,  0.044185,  0.457611, -0.544732,  0.153590, -0.240711,  0.000000
